ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions,Ingredients_list,clean_Ingredients
362,Skincare,Sensitive Skin,Oily,Excess Oil; Dry Texture,curd; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['curd fenugreek seeds'],curd fenugreek seeds
363,Haircare,Hair Fall,Curly,Breakage; Dry Texture,papaya; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['papaya onion juice'],papaya onion juice
364,Haircare,Hair Fall,Straight,Excess Oil; Breakage,lemon juice; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['lemon juice onion juice'],lemon juice onion juice
365,Haircare,Hair Fall,Oily,Roughness; Dry Texture,egg yolk; gram flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['egg yolk gram flour'],egg yolk gram flour
366,Skincare,Dull Skin,All,Itching; Breakage,yogurt; olive oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,['yogurt olive oil'],yogurt olive oil
367,Skincare,Blackheads,Dry,Breakage; Redness,onion juice; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['onion juice neem powder'],onion juice neem powder
368,Skincare,Dark Circles,Normal,Dark Spots; Dull Appearance,coconut oil; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['coconut oil fenugreek seeds'],coconut oil fenugreek seeds
369,Haircare,Dandruff,Curly,Breakage; Itching,aloe vera; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,['aloe vera green tea'],aloe vera green tea
370,Haircare,Hair Fall,All,Dry Texture; Breakage,onion juice; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,['onion juice neem powder'],onion juice neem powder
371,Haircare,Frizzy Hair,Curly,Flaky Skin; Dull Appearance,egg yolk; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['egg yolk green tea'],egg yolk green tea
372,Skincare,Pigmentation,Normal,Uneven Tone; Dull Appearance,multani mitti; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['multani mitti papaya'],multani mitti papaya
373,Haircare,Hair Growth,Curly,Uneven Tone; Scalp Irritation,yogurt; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['yogurt curd'],yogurt curd
374,Haircare,Hair Fall,Curly,Flaky Skin; Dry Texture,coconut oil; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['coconut oil curd'],coconut oil curd
375,Haircare,Hair Thinning,All,Roughness; Breakage,gram flour; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['gram flour multani mitti'],gram flour multani mitti
376,Haircare,Split Ends,Straight,Hair Shedding; Flaky Skin,potato juice; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,['potato juice onion juice'],potato juice onion juice
377,Skincare,Acne,Dry,Dry Texture; Excess Oil,multani mitti; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['multani mitti castor oil'],multani mitti castor oil
378,Haircare,Dandruff,Straight,Uneven Tone; Dry Texture,aloe vera; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['aloe vera onion juice'],aloe vera onion juice
379,Haircare,Premature Greying,Curly,Roughness; Uneven Tone,egg yolk; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,['egg yolk fenugreek seeds'],egg yolk fenugreek seeds
380,Haircare,Hair Thinning,Curly,Scalp Irritation; Redness,neem powder; potato juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,['neem powder potato juice'],neem powder potato juice
381,Skincare,Oily Skin,Sensitive,Breakage; Flaky Skin,castor oil; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,['castor oil onion juice'],castor oil onion juice
382,Haircare,Split Ends,Curly,Dark Spots; Hair Shedding,papaya; curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,['papaya curd'],papaya curd
383,Haircare,Premature Greying,All,Dry Texture; Roughness,yogurt; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,['yogurt green tea'],yogurt green tea
384,Haircare,Dry Hair,Oily,Uneven Tone; Breakage,honey; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['honey rose water'],honey rose water
385,Skincare,Dull Skin,Oily,Itching; Dry Texture,banana; papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,['banana papaya'],banana papaya
386,Skincare,Pigmentation,Dry,Itching; Uneven Tone,olive oil; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,['olive oil banana'],olive oil banana
387,Haircare,Hair Growth,Straight,Flaky Skin; Roughness,gram flour; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,['gram flour rose water'],gram flour rose water
388,Skincare,Blackheads,Combination,Breakage; Dry Texture,coconut oil; rose water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['coconut oil rose water'],coconut oil rose water
389,Haircare,Hair Fall,Normal,Flaky Skin; Hair Shedding,banana; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,['banana onion juice'],banana onion juice
390,Haircare,Hair Fall,Curly,Flaky Skin; Scalp Irritation,yogurt; banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['yogurt banana'],yogurt banana
391,Haircare,Dandruff,Normal,Roughness; Inflammation,turmeric; neem powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['turmeric neem powder'],turmeric neem powder
392,Haircare,Premature Greying,All,Roughness; Breakage,fenugreek seeds; coconut oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,['fenugreek seeds coconut oil'],fenugreek seeds coconut oil
393,Haircare,Hair Thinning,Oily,Roughness; Flaky Skin,lemon juice; castor oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,['lemon juice castor oil'],lemon juice castor oil
394,Skincare,Rashes,All,Excess Oil; Roughness,fenugreek seeds; multani mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,['fenugreek seeds multani mitti'],fenugreek seeds multani mitti
395,Skincare,Open Pores,Sensitive,Dry Texture; Roughness,neem powder; green tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,['neem powder green tea'],neem powder green tea
396,Skincare,Rashes,Sensitive,Excess Oil; Dull Appearance,lemon juice; honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,['lemon juice honey'],lemon juice honey
397,Skincare,Wrinkles,Normal,Scalp Irritation; Flaky Skin,onion juice; fenugreek seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,['onion juice fenugreek seeds'],onion juice fenugreek seeds
398,Skincare,Wrinkles,Oily,Redness; Breakage,papaya; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,['papaya aloe vera'],papaya aloe vera
399,Haircare,Hair Growth,Oily,Inflammation; Dull Appearance,castor oil; aloe vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,['castor oil aloe vera'],castor oil aloe vera
400,Skincare,Oily Skin,Dry,Roughness; Uneven Tone,fenugreek seeds; onion juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,['fenugreek seeds onion juice'],fenugreek seeds onion juice
