Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Ingredients_list,clean_Ingredients
37-45,Oily,Extreme Oily,Yes,Dark Circles,Vascular,vitamin k + niacinamide + vitamin c,1% + 10% + 8%,"Improves blood circulation under eyes, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['vitamin k  niacinamide  vitamin c'],vitamin k  niacinamide  vitamin c
37-45,Oily,Extreme Oily,Yes,Dark Spots,General,licorice extract + vitamin c + alpha arbutin,1% + 3% + 0.5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots",['licorice extract  vitamin c  alpha arbutin'],licorice extract  vitamin c  alpha arbutin
37-45,Oily,Extreme Oily,Yes,Dullness,General,lactic acid + vitamin c + green tea extract,0.5% + 3% + 10%,"Gently exfoliates and improves skin radiance, Brightens skin and reduces pigmentation, Provides antioxidant and anti-inflammatory benefits",['lactic acid  vitamin c  green tea extract'],lactic acid  vitamin c  green tea extract
37-45,Oily,Extreme Oily,Yes,Hyperpigmentation,General,niacinamide + licorice extract + vitamin c,10% + 1% + 8%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation",['niacinamide  licorice extract  vitamin c'],niacinamide  licorice extract  vitamin c
37-45,Oily,Extreme Oily,Yes,Open Pores,General,salicylic acid + niacinamide + azelaic acid,1% + 10% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture",['salicylic acid  niacinamide  azelaic acid'],salicylic acid  niacinamide  azelaic acid
37-45,Oily,Extreme Oily,Yes,Redness,General,centella asiatica + aloe vera + niacinamide,1% + 3% + 10%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Reduces inflammation and regulates sebum",['centella asiatica  aloe vera  niacinamide'],centella asiatica  aloe vera  niacinamide
37-45,Oily,Extreme Oily,Yes,Sun Tan,General,aloe vera + licorice extract + alpha arbutin,0.5% + 10% + 5%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots",['aloe vera  licorice extract  alpha arbutin'],aloe vera  licorice extract  alpha arbutin
37-45,Oily,Extreme Oily,Yes,Whiteheads / Blackheads,General,willow bark extract + niacinamide + glycolic acid,10% + 0.5% + 2%,"Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum, Exfoliates dead skin cells and smooths skin",['willow bark extract  niacinamide  glycolic acid'],willow bark extract  niacinamide  glycolic acid
37-45,Oily,Extreme Oily,Yes,Wrinkles,General,coenzyme q10 + hyaluronic acid + niacinamide,1% + 5% + 10%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Reduces inflammation and regulates sebum",['coenzyme q  hyaluronic acid  niacinamide'],coenzyme q  hyaluronic acid  niacinamide
37-45,Oily,Extreme Oily,No,Acne,Comedonal,niacinamide + salicylic acid + azelaic acid,3% + 10% + 5%,"Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil, Reduces acne and improves skin texture",['niacinamide  salicylic acid  azelaic acid'],niacinamide  salicylic acid  azelaic acid
37-45,Oily,Extreme Oily,No,Acne,Inflammatory,benzoyl peroxide + green tea extract + zinc pca,8% + 3% + 5%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Controls sebum production",['benzoyl peroxide  green tea extract  zinc pca'],benzoyl peroxide  green tea extract  zinc pca
37-45,Oily,Extreme Oily,No,Acne,Nodular,niacinamide + zinc pca + green tea extract,8% + 5% + 2%,"Reduces inflammation and regulates sebum, Controls sebum production, Provides antioxidant and anti-inflammatory benefits",['niacinamide  zinc pca  green tea extract'],niacinamide  zinc pca  green tea extract
37-45,Oily,Extreme Oily,No,Acne,Cystic,azelaic acid + salicylic acid + zinc pca,5% + 0.5% + 2%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Controls sebum production",['azelaic acid  salicylic acid  zinc pca'],azelaic acid  salicylic acid  zinc pca
37-45,Oily,Extreme Oily,No,Dark Circles,Pigmented,caffeine + vitamin k + licorice extract,0.5% + 8% + 2%,"Reduces puffiness and improves circulation, Improves blood circulation under eyes, Lightens dark spots and evens skin tone",['caffeine  vitamin k  licorice extract'],caffeine  vitamin k  licorice extract
37-45,Oily,Extreme Oily,No,Dark Circles,Vascular,licorice extract + vitamin c + hyaluronic acid,8% + 10% + 1%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Hydrates and plumps the skin",['licorice extract  vitamin c  hyaluronic acid'],licorice extract  vitamin c  hyaluronic acid
37-45,Oily,Extreme Oily,No,Dark Spots,General,vitamin c + licorice extract + alpha arbutin,0.5% + 2% + 5%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots",['vitamin c  licorice extract  alpha arbutin'],vitamin c  licorice extract  alpha arbutin
37-45,Oily,Extreme Oily,No,Dullness,General,vitamin c + hyaluronic acid + lactic acid,3% + 8% + 2%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Gently exfoliates and improves skin radiance",['vitamin c  hyaluronic acid  lactic acid'],vitamin c  hyaluronic acid  lactic acid
37-45,Oily,Extreme Oily,No,Hyperpigmentation,General,tranexamic acid + vitamin c + niacinamide,1% + 5% + 10%,"Reduces melanin production and pigmentation, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum",['tranexamic acid  vitamin c  niacinamide'],tranexamic acid  vitamin c  niacinamide
37-45,Oily,Extreme Oily,No,Open Pores,General,niacinamide + green tea extract + clay,5% + 3% + 2%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores",['niacinamide  green tea extract  clay'],niacinamide  green tea extract  clay
37-45,Oily,Extreme Oily,No,Redness,General,niacinamide + green tea extract + chamomile extract,0.5% + 8% + 5%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation",['niacinamide  green tea extract  chamomile extract'],niacinamide  green tea extract  chamomile extract
37-45,Oily,Extreme Oily,No,Sun Tan,General,niacinamide + alpha arbutin + aloe vera,3% + 10% + 2%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Soothes and hydrates irritated skin",['niacinamide  alpha arbutin  aloe vera'],niacinamide  alpha arbutin  aloe vera
37-45,Oily,Extreme Oily,No,Whiteheads / Blackheads,General,niacinamide + willow bark extract + salicylic acid,10% + 8% + 1%,"Reduces inflammation and regulates sebum, Naturally exfoliates and clears pores, Unclogs pores and removes excess oil",['niacinamide  willow bark extract  salicylic acid'],niacinamide  willow bark extract  salicylic acid
37-45,Oily,Extreme Oily,No,Wrinkles,General,coenzyme q10 + hyaluronic acid + retinol,0.5% + 1% + 3%,"Provides antioxidant protection and supports skin repair, Hydrates and plumps the skin, Stimulates collagen production and reduces wrinkles",['coenzyme q  hyaluronic acid  retinol'],coenzyme q  hyaluronic acid  retinol
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Comedonal,benzoyl peroxide + green tea extract + azelaic acid,3% + 10% + 8%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Reduces acne and improves skin texture",['benzoyl peroxide  green tea extract  azelaic acid'],benzoyl peroxide  green tea extract  azelaic acid
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Inflammatory,salicylic acid + green tea extract + niacinamide,0.5% + 2% + 10%,"Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum",['salicylic acid  green tea extract  niacinamide'],salicylic acid  green tea extract  niacinamide
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Nodular,azelaic acid + niacinamide + benzoyl peroxide,2% + 1% + 3%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Kills acne-causing bacteria",['azelaic acid  niacinamide  benzoyl peroxide'],azelaic acid  niacinamide  benzoyl peroxide
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Acne,Cystic,niacinamide + zinc pca + green tea extract,3% + 0.5% + 5%,"Reduces inflammation and regulates sebum, Controls sebum production, Provides antioxidant and anti-inflammatory benefits",['niacinamide  zinc pca  green tea extract'],niacinamide  zinc pca  green tea extract
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Pigmented,vitamin k + vitamin c + caffeine,0.5% + 5% + 3%,"Improves blood circulation under eyes, Brightens skin and reduces pigmentation, Reduces puffiness and improves circulation",['vitamin k  vitamin c  caffeine'],vitamin k  vitamin c  caffeine
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Circles,Vascular,niacinamide + caffeine + vitamin c,8% + 2% + 1%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation",['niacinamide  caffeine  vitamin c'],niacinamide  caffeine  vitamin c
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Dark Spots,General,kojic acid + vitamin c + licorice extract,3% + 2% + 8%,"Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone",['kojic acid  vitamin c  licorice extract'],kojic acid  vitamin c  licorice extract
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Dullness,General,vitamin c + green tea extract + lactic acid,1% + 5% + 10%,"Brightens skin and reduces pigmentation, Provides antioxidant and anti-inflammatory benefits, Gently exfoliates and improves skin radiance",['vitamin c  green tea extract  lactic acid'],vitamin c  green tea extract  lactic acid
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Hyperpigmentation,General,vitamin c + alpha arbutin + niacinamide,1% + 10% + 0.5%,"Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum",['vitamin c  alpha arbutin  niacinamide'],vitamin c  alpha arbutin  niacinamide
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Open Pores,General,salicylic acid + niacinamide + green tea extract,0.5% + 1% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits",['salicylic acid  niacinamide  green tea extract'],salicylic acid  niacinamide  green tea extract
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Redness,General,aloe vera + centella asiatica + green tea extract,2% + 1% + 8%,"Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier, Provides antioxidant and anti-inflammatory benefits",['aloe vera  centella asiatica  green tea extract'],aloe vera  centella asiatica  green tea extract
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Sun Tan,General,alpha arbutin + vitamin c + licorice extract,5% + 0.5% + 3%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone",['alpha arbutin  vitamin c  licorice extract'],alpha arbutin  vitamin c  licorice extract
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Whiteheads / Blackheads,General,zinc pca + glycolic acid + niacinamide,10% + 3% + 8%,"Controls sebum production, Exfoliates dead skin cells and smooths skin, Reduces inflammation and regulates sebum",['zinc pca  glycolic acid  niacinamide'],zinc pca  glycolic acid  niacinamide
37-45,Combination,T-Zone Oily Cheeks Dry,Yes,Wrinkles,General,niacinamide + retinol + coenzyme q10,10% + 0.5% + 3%,"Reduces inflammation and regulates sebum, Stimulates collagen production and reduces wrinkles, Provides antioxidant protection and supports skin repair",['niacinamide  retinol  coenzyme q'],niacinamide  retinol  coenzyme q
37-45,Combination,T-Zone Oily Cheeks Dry,No,Acne,Comedonal,salicylic acid + niacinamide + benzoyl peroxide,5% + 10% + 2%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Kills acne-causing bacteria",['salicylic acid  niacinamide  benzoyl peroxide'],salicylic acid  niacinamide  benzoyl peroxide
37-45,Combination,T-Zone Oily Cheeks Dry,No,Acne,Inflammatory,benzoyl peroxide + green tea extract + zinc pca,0.5% + 2% + 8%,"Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits, Controls sebum production",['benzoyl peroxide  green tea extract  zinc pca'],benzoyl peroxide  green tea extract  zinc pca
37-45,Combination,T-Zone Oily Cheeks Dry,No,Acne,Nodular,zinc pca + salicylic acid + azelaic acid,2% + 10% + 5%,"Controls sebum production, Unclogs pores and removes excess oil, Reduces acne and improves skin texture",['zinc pca  salicylic acid  azelaic acid'],zinc pca  salicylic acid  azelaic acid
37-45,Combination,T-Zone Oily Cheeks Dry,No,Acne,Cystic,benzoyl peroxide + azelaic acid + zinc pca,1% + 0.5% + 3%,"Kills acne-causing bacteria, Reduces acne and improves skin texture, Controls sebum production",['benzoyl peroxide  azelaic acid  zinc pca'],benzoyl peroxide  azelaic acid  zinc pca
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Pigmented,niacinamide + licorice extract + hyaluronic acid,10% + 2% + 0.5%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Hydrates and plumps the skin",['niacinamide  licorice extract  hyaluronic acid'],niacinamide  licorice extract  hyaluronic acid
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dark Circles,Vascular,caffeine + niacinamide + vitamin c,1% + 10% + 3%,"Reduces puffiness and improves circulation, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['caffeine  niacinamide  vitamin c'],caffeine  niacinamide  vitamin c
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dark Spots,General,alpha arbutin + kojic acid + niacinamide,1% + 8% + 2%,"Reduces hyperpigmentation and dark spots, Lightens pigmentation and skin discoloration, Reduces inflammation and regulates sebum",['alpha arbutin  kojic acid  niacinamide'],alpha arbutin  kojic acid  niacinamide
37-45,Combination,T-Zone Oily Cheeks Dry,No,Dullness,General,vitamin c + niacinamide + lactic acid,0.5% + 2% + 5%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance",['vitamin c  niacinamide  lactic acid'],vitamin c  niacinamide  lactic acid
37-45,Combination,T-Zone Oily Cheeks Dry,No,Hyperpigmentation,General,niacinamide + licorice extract + alpha arbutin,3% + 10% + 8%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Reduces hyperpigmentation and dark spots",['niacinamide  licorice extract  alpha arbutin'],niacinamide  licorice extract  alpha arbutin
37-45,Combination,T-Zone Oily Cheeks Dry,No,Open Pores,General,green tea extract + niacinamide + azelaic acid,1% + 3% + 2%,"Provides antioxidant and anti-inflammatory benefits, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture",['green tea extract  niacinamide  azelaic acid'],green tea extract  niacinamide  azelaic acid
37-45,Combination,T-Zone Oily Cheeks Dry,No,Redness,General,niacinamide + aloe vera + centella asiatica,0.5% + 8% + 5%,"Reduces inflammation and regulates sebum, Soothes and hydrates irritated skin, Soothes irritation and repairs skin barrier",['niacinamide  aloe vera  centella asiatica'],niacinamide  aloe vera  centella asiatica
37-45,Combination,T-Zone Oily Cheeks Dry,No,Sun Tan,General,licorice extract + aloe vera + alpha arbutin,1% + 0.5% + 8%,"Lightens dark spots and evens skin tone, Soothes and hydrates irritated skin, Reduces hyperpigmentation and dark spots",['licorice extract  aloe vera  alpha arbutin'],licorice extract  aloe vera  alpha arbutin
37-45,Combination,T-Zone Oily Cheeks Dry,No,Whiteheads / Blackheads,General,willow bark extract + niacinamide + salicylic acid,8% + 1% + 2%,"Naturally exfoliates and clears pores, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['willow bark extract  niacinamide  salicylic acid'],willow bark extract  niacinamide  salicylic acid
37-45,Combination,T-Zone Oily Cheeks Dry,No,Wrinkles,General,hyaluronic acid + peptides + niacinamide,3% + 5% + 1%,"Hydrates and plumps the skin, Improves skin elasticity and firmness, Reduces inflammation and regulates sebum",['hyaluronic acid  peptides  niacinamide'],hyaluronic acid  peptides  niacinamide
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Comedonal,niacinamide + benzoyl peroxide + green tea extract,3% + 2% + 8%,"Reduces inflammation and regulates sebum, Kills acne-causing bacteria, Provides antioxidant and anti-inflammatory benefits",['niacinamide  benzoyl peroxide  green tea extract'],niacinamide  benzoyl peroxide  green tea extract
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Inflammatory,niacinamide + azelaic acid + zinc pca,8% + 3% + 5%,"Reduces inflammation and regulates sebum, Reduces acne and improves skin texture, Controls sebum production",['niacinamide  azelaic acid  zinc pca'],niacinamide  azelaic acid  zinc pca
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Nodular,azelaic acid + niacinamide + salicylic acid,0.5% + 3% + 10%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Unclogs pores and removes excess oil",['azelaic acid  niacinamide  salicylic acid'],azelaic acid  niacinamide  salicylic acid
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Acne,Cystic,salicylic acid + azelaic acid + benzoyl peroxide,1% + 8% + 10%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Kills acne-causing bacteria",['salicylic acid  azelaic acid  benzoyl peroxide'],salicylic acid  azelaic acid  benzoyl peroxide
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Pigmented,niacinamide + licorice extract + vitamin k,2% + 8% + 1%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Improves blood circulation under eyes",['niacinamide  licorice extract  vitamin k'],niacinamide  licorice extract  vitamin k
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Circles,Vascular,niacinamide + caffeine + licorice extract,0.5% + 5% + 1%,"Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation, Lightens dark spots and evens skin tone",['niacinamide  caffeine  licorice extract'],niacinamide  caffeine  licorice extract
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dark Spots,General,licorice extract + kojic acid + vitamin c,0.5% + 5% + 10%,"Lightens dark spots and evens skin tone, Lightens pigmentation and skin discoloration, Brightens skin and reduces pigmentation",['licorice extract  kojic acid  vitamin c'],licorice extract  kojic acid  vitamin c
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Dullness,General,vitamin c + hyaluronic acid + niacinamide,0.5% + 1% + 8%,"Brightens skin and reduces pigmentation, Hydrates and plumps the skin, Reduces inflammation and regulates sebum",['vitamin c  hyaluronic acid  niacinamide'],vitamin c  hyaluronic acid  niacinamide
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Hyperpigmentation,General,vitamin c + licorice extract + niacinamide,3% + 5% + 10%,"Brightens skin and reduces pigmentation, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum",['vitamin c  licorice extract  niacinamide'],vitamin c  licorice extract  niacinamide
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Open Pores,General,green tea extract + clay + salicylic acid,8% + 3% + 0.5%,"Provides antioxidant and anti-inflammatory benefits, Absorbs excess oil and tightens pores, Unclogs pores and removes excess oil",['green tea extract  clay  salicylic acid'],green tea extract  clay  salicylic acid
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Redness,General,aloe vera + green tea extract + centella asiatica,10% + 0.5% + 2%,"Soothes and hydrates irritated skin, Provides antioxidant and anti-inflammatory benefits, Soothes irritation and repairs skin barrier",['aloe vera  green tea extract  centella asiatica'],aloe vera  green tea extract  centella asiatica
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Sun Tan,General,aloe vera + licorice extract + niacinamide,8% + 1% + 2%,"Soothes and hydrates irritated skin, Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum",['aloe vera  licorice extract  niacinamide'],aloe vera  licorice extract  niacinamide
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Whiteheads / Blackheads,General,niacinamide + zinc pca + willow bark extract,2% + 8% + 5%,"Reduces inflammation and regulates sebum, Controls sebum production, Naturally exfoliates and clears pores",['niacinamide  zinc pca  willow bark extract'],niacinamide  zinc pca  willow bark extract
37-45,Combination,T-Zone Dry Cheeks Oily,Yes,Wrinkles,General,peptides + coenzyme q10 + retinol,3% + 10% + 8%,"Improves skin elasticity and firmness, Provides antioxidant protection and supports skin repair, Stimulates collagen production and reduces wrinkles",['peptides  coenzyme q  retinol'],peptides  coenzyme q  retinol
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Comedonal,salicylic acid + niacinamide + zinc pca,8% + 2% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Controls sebum production",['salicylic acid  niacinamide  zinc pca'],salicylic acid  niacinamide  zinc pca
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Inflammatory,salicylic acid + zinc pca + azelaic acid,2% + 1% + 3%,"Unclogs pores and removes excess oil, Controls sebum production, Reduces acne and improves skin texture",['salicylic acid  zinc pca  azelaic acid'],salicylic acid  zinc pca  azelaic acid
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Nodular,salicylic acid + niacinamide + azelaic acid,10% + 2% + 5%,"Unclogs pores and removes excess oil, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture",['salicylic acid  niacinamide  azelaic acid'],salicylic acid  niacinamide  azelaic acid
37-45,Combination,T-Zone Dry Cheeks Oily,No,Acne,Cystic,azelaic acid + niacinamide + benzoyl peroxide,3% + 10% + 1%,"Reduces acne and improves skin texture, Reduces inflammation and regulates sebum, Kills acne-causing bacteria",['azelaic acid  niacinamide  benzoyl peroxide'],azelaic acid  niacinamide  benzoyl peroxide
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Pigmented,licorice extract + niacinamide + vitamin c,0.5% + 1% + 5%,"Lightens dark spots and evens skin tone, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['licorice extract  niacinamide  vitamin c'],licorice extract  niacinamide  vitamin c
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Circles,Vascular,caffeine + vitamin k + vitamin c,5% + 2% + 3%,"Reduces puffiness and improves circulation, Improves blood circulation under eyes, Brightens skin and reduces pigmentation",['caffeine  vitamin k  vitamin c'],caffeine  vitamin k  vitamin c
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dark Spots,General,niacinamide + alpha arbutin + licorice extract,2% + 0.5% + 10%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone",['niacinamide  alpha arbutin  licorice extract'],niacinamide  alpha arbutin  licorice extract
37-45,Combination,T-Zone Dry Cheeks Oily,No,Dullness,General,hyaluronic acid + niacinamide + lactic acid,8% + 3% + 0.5%,"Hydrates and plumps the skin, Reduces inflammation and regulates sebum, Gently exfoliates and improves skin radiance",['hyaluronic acid  niacinamide  lactic acid'],hyaluronic acid  niacinamide  lactic acid
37-45,Combination,T-Zone Dry Cheeks Oily,No,Hyperpigmentation,General,tranexamic acid + niacinamide + vitamin c,3% + 0.5% + 1%,"Reduces melanin production and pigmentation, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation",['tranexamic acid  niacinamide  vitamin c'],tranexamic acid  niacinamide  vitamin c
37-45,Combination,T-Zone Dry Cheeks Oily,No,Open Pores,General,salicylic acid + clay + green tea extract,0.5% + 10% + 1%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Provides antioxidant and anti-inflammatory benefits",['salicylic acid  clay  green tea extract'],salicylic acid  clay  green tea extract
37-45,Combination,T-Zone Dry Cheeks Oily,No,Redness,General,centella asiatica + aloe vera + chamomile extract,1% + 10% + 2%,"Soothes irritation and repairs skin barrier, Soothes and hydrates irritated skin, Calms redness and irritation",['centella asiatica  aloe vera  chamomile extract'],centella asiatica  aloe vera  chamomile extract
37-45,Combination,T-Zone Dry Cheeks Oily,No,Sun Tan,General,niacinamide + vitamin c + alpha arbutin,5% + 1% + 10%,"Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation, Reduces hyperpigmentation and dark spots",['niacinamide  vitamin c  alpha arbutin'],niacinamide  vitamin c  alpha arbutin
37-45,Combination,T-Zone Dry Cheeks Oily,No,Whiteheads / Blackheads,General,willow bark extract + glycolic acid + zinc pca,1% + 2% + 3%,"Naturally exfoliates and clears pores, Exfoliates dead skin cells and smooths skin, Controls sebum production",['willow bark extract  glycolic acid  zinc pca'],willow bark extract  glycolic acid  zinc pca
37-45,Combination,T-Zone Dry Cheeks Oily,No,Wrinkles,General,hyaluronic acid + coenzyme q10 + niacinamide,1% + 10% + 5%,"Hydrates and plumps the skin, Provides antioxidant protection and supports skin repair, Reduces inflammation and regulates sebum",['hyaluronic acid  coenzyme q  niacinamide'],hyaluronic acid  coenzyme q  niacinamide
45+,Normal,Normal to Dry,Yes,Acne,Comedonal,zinc pca + azelaic acid + niacinamide,5% + 1% + 3%,"Controls sebum production, Reduces acne and improves skin texture, Reduces inflammation and regulates sebum",['zinc pca  azelaic acid  niacinamide'],zinc pca  azelaic acid  niacinamide
45+,Normal,Normal to Dry,Yes,Acne,Inflammatory,green tea extract + benzoyl peroxide + salicylic acid,0.5% + 10% + 3%,"Provides antioxidant and anti-inflammatory benefits, Kills acne-causing bacteria, Unclogs pores and removes excess oil",['green tea extract  benzoyl peroxide  salicylic acid'],green tea extract  benzoyl peroxide  salicylic acid
45+,Normal,Normal to Dry,Yes,Acne,Nodular,salicylic acid + azelaic acid + zinc pca,3% + 8% + 2%,"Unclogs pores and removes excess oil, Reduces acne and improves skin texture, Controls sebum production",['salicylic acid  azelaic acid  zinc pca'],salicylic acid  azelaic acid  zinc pca
45+,Normal,Normal to Dry,Yes,Acne,Cystic,zinc pca + azelaic acid + salicylic acid,5% + 10% + 1%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil",['zinc pca  azelaic acid  salicylic acid'],zinc pca  azelaic acid  salicylic acid
45+,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,licorice extract + vitamin k + vitamin c,8% + 0.5% + 10%,"Lightens dark spots and evens skin tone, Improves blood circulation under eyes, Brightens skin and reduces pigmentation",['licorice extract  vitamin k  vitamin c'],licorice extract  vitamin k  vitamin c
45+,Normal,Normal to Dry,Yes,Dark Circles,Vascular,niacinamide + licorice extract + hyaluronic acid,0.5% + 5% + 2%,"Reduces inflammation and regulates sebum, Lightens dark spots and evens skin tone, Hydrates and plumps the skin",['niacinamide  licorice extract  hyaluronic acid'],niacinamide  licorice extract  hyaluronic acid
45+,Normal,Normal to Dry,Yes,Dark Spots,General,niacinamide + alpha arbutin + licorice extract,5% + 2% + 10%,"Reduces inflammation and regulates sebum, Reduces hyperpigmentation and dark spots, Lightens dark spots and evens skin tone",['niacinamide  alpha arbutin  licorice extract'],niacinamide  alpha arbutin  licorice extract
45+,Normal,Normal to Dry,Yes,Dullness,General,lactic acid + niacinamide + hyaluronic acid,2% + 0.5% + 5%,"Gently exfoliates and improves skin radiance, Reduces inflammation and regulates sebum, Hydrates and plumps the skin",['lactic acid  niacinamide  hyaluronic acid'],lactic acid  niacinamide  hyaluronic acid
45+,Normal,Normal to Dry,Yes,Hyperpigmentation,General,licorice extract + vitamin c + tranexamic acid,1% + 2% + 5%,"Lightens dark spots and evens skin tone, Brightens skin and reduces pigmentation, Reduces melanin production and pigmentation",['licorice extract  vitamin c  tranexamic acid'],licorice extract  vitamin c  tranexamic acid
45+,Normal,Normal to Dry,Yes,Open Pores,General,salicylic acid + clay + azelaic acid,5% + 10% + 3%,"Unclogs pores and removes excess oil, Absorbs excess oil and tightens pores, Reduces acne and improves skin texture",['salicylic acid  clay  azelaic acid'],salicylic acid  clay  azelaic acid
45+,Normal,Normal to Dry,Yes,Redness,General,niacinamide + green tea extract + chamomile extract,1% + 10% + 5%,"Reduces inflammation and regulates sebum, Provides antioxidant and anti-inflammatory benefits, Calms redness and irritation",['niacinamide  green tea extract  chamomile extract'],niacinamide  green tea extract  chamomile extract
